part_file,normal_x,normal_y,normal_z,plane_offset_mm,patch_area_mm2,n_triangles,bbox_u_mm,bbox_v_mm,fill_ratio,largest_inscribed_square_mm,square1_cx_mm,square1_cy_mm,square1_cz_mm,second_square_mm,square2_cx_mm,square2_cy_mm,square2_cz_mm,pair_baseline_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm
Alt_Kasa.stl,-1.0000,0.0000,0.0000,-56.94,572.1,8,67.10,8.52,1.001,8.80,56.94,-0.14,62.70,8.80,56.94,-0.14,51.10,11.60,56.94,0.00,33.55
Alt_Kasa.stl,1.0000,0.0000,0.0000,-56.80,60.7,12,38.62,64.26,0.024,7.20,-56.80,0.80,64.08,0.80,-56.80,59.60,28.88,68.53,-56.80,19.93,54.09
Alt_Kasa.stl,-1.0000,0.0000,0.0000,59.91,70.8,10,6.50,10.88,1.001,6.80,-59.91,2.04,63.60,2.40,-59.91,-4.56,65.80,6.96,-59.91,0.00,63.75
Alt_Kasa.stl,0.4026,-0.9154,0.0000,-56.94,56.3,8,6.60,8.52,1.001,6.80,-21.98,52.54,63.90,0.00,0.00,0.00,0.00,0.00,-22.77,52.19,63.80
Alt_Kasa.stl,0.4026,0.9154,0.0000,-56.94,56.3,8,6.60,8.52,1.001,6.80,-21.98,-52.54,63.70,0.00,0.00,0.00,0.00,0.00,-22.77,-52.19,63.80
Alt_Kasa.stl,0.7737,0.6336,0.0000,-56.91,70.3,10,6.60,10.64,1.001,6.80,-42.61,-37.79,63.70,2.40,-46.79,-32.69,65.90,6.96,-43.82,-36.31,63.80
Alt_Kasa.stl,0.7737,-0.6336,0.0000,-56.91,70.3,10,6.60,10.64,1.001,6.80,-42.61,37.79,63.90,2.40,-46.79,32.69,61.70,6.96,-43.82,36.31,63.80
Alt_Kasa.stl,0.6497,0.7602,0.0000,-56.90,70.3,10,6.60,10.64,1.002,6.80,-34.85,-45.07,63.70,2.40,-39.87,-40.78,65.90,6.96,-36.31,-43.82,63.80
Alt_Kasa.stl,0.6497,-0.7602,0.0000,-56.90,70.3,10,6.60,10.64,1.002,6.80,-34.85,45.07,63.90,2.40,-39.87,40.78,61.70,6.96,-36.31,43.82,63.80
Alt_Kasa.stl,0.8918,-0.4524,0.0000,-56.91,70.3,10,6.60,10.64,1.001,6.80,-49.93,27.36,63.90,2.40,-52.92,21.48,61.70,6.96,-50.80,25.65,63.80
Alt_Kasa.stl,0.8918,0.4524,0.0000,-56.91,70.3,10,6.60,10.64,1.001,6.80,-49.93,-27.36,63.70,2.40,-52.92,-21.48,65.90,6.96,-50.80,-25.65,63.80
Alt_Kapak.stl,0.0000,0.0000,-1.0000,0.00,20388.0,389,113.60,203.60,0.881,114.00,83.80,-0.20,0.00,28.80,-34.40,15.60,-0.00,119.25,0.05,-2.22,0.00
Alt_Kapak.stl,0.0000,0.0000,1.0000,3.00,18324.4,789,113.60,203.59,0.792,58.00,94.20,-21.80,3.00,30.80,109.00,41.80,3.00,65.30,40.34,7.80,3.00
Alt_Kapak.stl,-1.0000,-0.0000,0.0006,24.98,1127.2,11,39.90,40.50,0.698,26.40,-24.97,7.05,16.30,5.60,-24.96,-17.75,26.70,26.89,-24.96,0.61,31.45
Alt_Kapak.stl,0.0005,-1.0000,0.0000,27.84,495.1,21,25.90,20.90,0.915,18.80,-31.50,-27.85,20.60,1.60,-22.90,-27.85,4.40,18.34,-30.81,-27.85,9.73
Alt_Kapak.stl,0.0005,1.0000,0.0000,27.84,495.1,21,25.90,20.90,0.915,18.80,-31.50,27.85,20.10,1.60,-22.90,27.85,3.90,18.34,-29.48,27.85,9.85
Alt_Kapak.stl,0.0005,-1.0000,0.0000,-20.23,529.8,25,43.50,44.26,0.275,18.40,-34.34,20.22,20.40,2.80,-0.14,20.23,1.40,39.12,-25.61,20.22,12.09
Alt_Kapak.stl,0.0005,1.0000,0.0000,-20.24,529.8,25,43.50,44.26,0.275,18.40,-34.34,-20.22,20.30,2.80,-0.14,-20.24,42.10,40.56,-26.81,-20.22,11.99
Alt_Kapak.stl,0.0000,0.0000,-1.0000,-11.00,178.9,36,55.70,12.00,0.268,8.00,-37.00,23.85,11.00,8.00,-37.00,-24.15,11.00,48.00,-41.86,0.27,11.00
Alt_Kapak.stl,0.0000,0.0000,1.0000,7.00,263.5,308,75.63,177.34,0.020,8.00,-36.86,-23.85,7.00,8.00,-36.86,24.15,7.00,48.00,86.05,20.38,7.00
Alt_Kapak.stl,0.0000,0.0000,1.0000,29.50,454.9,228,55.70,28.24,0.289,7.60,-24.56,-23.65,29.50,7.60,-24.56,23.95,29.50,47.60,-31.81,-0.28,29.50
Alt_Kapak.stl,1.0000,0.0000,0.0009,-20.07,411.1,12,43.50,51.70,0.183,6.40,-20.08,22.65,6.80,6.40,-20.09,22.65,15.20,8.40,-20.09,0.00,18.79
Alt_Kapak.stl,0.0005,-1.0000,0.0000,24.95,196.0,7,39.90,5.60,0.878,6.00,-0.20,-24.95,40.20,5.60,-0.00,-24.95,26.80,13.40,0.29,-24.95,24.50
Alt_Kapak.stl,0.0005,1.0000,0.0000,24.95,196.0,7,39.90,5.60,0.878,6.00,-0.20,24.95,40.50,5.60,-0.00,24.95,32.70,7.80,0.29,24.95,24.50
Alt_Kapak.stl,1.0000,0.0000,0.0009,24.96,224.1,8,39.90,5.61,1.001,6.00,24.96,-0.19,6.60,6.00,24.95,-0.19,14.60,8.00,24.94,-0.00,23.55
Alt_Kapak.stl,-0.7509,-0.6604,0.0001,24.95,68.5,7,14.00,5.56,0.879,5.60,-18.96,-16.22,32.30,4.80,-18.96,-16.22,39.10,6.80,-18.87,-16.33,36.17
Alt_Kapak.stl,-0.7509,0.6604,0.0001,24.95,68.5,7,14.00,5.56,0.879,5.60,-18.96,16.22,33.50,4.80,-19.22,15.92,41.10,7.61,-18.87,16.33,36.17
Alt_Kapak.stl,-0.6096,-0.7927,0.0000,24.95,179.7,9,39.90,4.72,0.954,5.20,-15.40,-19.63,6.20,5.20,-15.40,-19.63,13.00,6.80,-15.66,-19.43,22.21
